就活,xxx,WHEN,今３年ですが何時から就活をスタートさせればよいでしょうか？
仕事,自己分析,WHAT,なにを重視したらいいのか、やりたいことを仕事に結びつけるためにはどういう考えを持てばいいか教えて欲しいです。
自分,自己分析,HOW,ありがとうございます！英語は苦手で、TOEICは受けたことがないですが自分のレベルの把握のためにも受けてみようと思います！自己分析の方法知りたいです。
仕事,自己分析,HOW,ありがとうございます。まだしっかりと考えられていないですね。ただ自分にどういった仕事が合うのか、というのは気になります！
仕事,自己分析,TEACH,こんにちは。お世話になっております。学生団体GEIL2016に所属しております、加藤です。ご連絡ありがとうございます。そうですね、私は美大のデザイン科なので、広告代理店や出版業界などに少し興味がございます。ですが、まだしっかり定まってはいないので、自分に合った仕事の見つけ方など、是非、教えて頂きたいです。
仕事,自己分析,xxx,ありがとうございます！自分に合った仕事の見つけ方を知りたいです。
仕事,自己分析,HOW,私のサークルでは多くの先輩が3年生からインターン始めているんですけど、それって遅いのかなぁ？と疑問に思ってます。でも1.2年のうちは遊びたいし、、、と悩んでいます。それから、現在塾講師のバイトをしてるんですけど、始めた当初は子供を相手に勉強を教えるの好きだしやろう！と思ってやっていたのですが、次第に合わないのかなと感じることが最近多々あります。なにごとも完全に満足できることがないのはわかっているのですが、できるだけ自分にあった仕事ってどう見つければいいんでしょうか？？
xxx,xxx,xxx,まだないですね〜。全くわかってない状況です_
仕事,自己分析,TEACH,脇口さんはじめまして！例えばで挙げていた抱いた、「自分に合った仕事の見つけ方」に今現在まさに悩んでいます...。先輩や同学年の友人がサマーインターンに申し込んでいるのを見て、私も悩んだのですが正直どのような仕事についていいのかわからず、申し込みをできないでいます。
xxx,xxx,xxx,お返事が遅くなって申し訳ないです。はい、大丈夫です。3番よろしくお願いいたします。
xxx,自己分析,HOW,こんにちは。自己分析の方法でオススメとかありますか？
自分,自己分析,WHAT,自己分析をしても、業界研究をしてもやりたい仕事がわからないです。どれもやりたくないというよりは、どれでも大丈夫そうよさそうという感じで、自分になにが向いているのかなにが楽しいのか見極められないです。
仕事,xxx,TEACH,東京理科大　3年　数学科　ですこのサービスは大学の生協から紹介です今自分の将来活かせる仕事を探しています是非教えてください
インターン,自己分析,xxx,ご連絡ありがとうございます。明日キャリアセンターの職員の方を相手にした大学主催のインターンの面接を控えているのですが、どの程度の自己分析が必要なのかが分かりません。
xxx,自己分析,HOW,自己分析の方法教えてください！
自分,xxx,WHAT,また、就活前最後の三年生の夏休みに(自分は今3年生です)何をしておけばよいですか？
インターン,軸,xxx,就活する上での軸(会社や業界選びの基準)が見つかりません。インターンシップに行けば見つかるものですか？
xxx,自己分析,HOW,自己分析やってみたいです方法教えてください
企業,自己分析,xxx,自分がどんな業界に興味があるのかさえ、分からない大学三年生です。わたしにあった業界、企業を知りたいです。
xxx,自己分析,HOW,そうですね。ありがとうございます。自己分析の方法を教えていただけますか？
仕事,自己分析,TEACH,今は、放送業界や広告代理店に興味を持っています。ですが、まだ少し興味があるというレベルです。自分にあった仕事の見つけ方について教えていただきたいです。
仕事,xxx,xxx,なるほど。資格で職種が決まるものもあるが、それはほとんど専門性がすごい高い場合に限られるというわけですか。資質ですかぁー。どのようにして資質を測ったりできるんですか？？
xxx,試験,HOW,ESがうまく書けないことや、ウェブテスト対策をができてないことなどがあります。
